x1,x2,x3,x4,x5,x6
0.889,1.389,1.555,2.222,1.945,1
2.813,1.437,0.999,2.312,2.312,2
1.454,1.091,2.364,2.455,2.909,3
0.294,0.941,1.059,2,1,1
2.727,2.545,2.819,2.727,4.091,0
3.937,1.25,1.937,2.937,3.749,1
2.786,1.714,2.357,2.071,2,2
5.231,2.692,1.077,1.846,2.539,1
1.15,1.1,0.95,2,1,1
6.5,2.562,1.749,2.562,2.499,1
0.8,1,2.2,2.267,2.466,2
4.6,2,3,2.5,3.4,1
3.5,1.286,2.714,1.286,1.252,3
3.444,2.556,2.388,2.389,3,1
4.071,1,1,2.357,1.572,1
3.692,1,2.538,2.154,2.615,1
5.167,3,1,2.667,3.666,0
0.5,1,1,2,1,0
2.385,1.923,2.539,2.154,2.461,1
2.1,1.3,1.3,1.8,2.6,1
5,3.25,3.125,2.375,3.375,0
4.571,1.214,3.286,2.571,3.572,1
2.733,1.133,2.6,1.933,1.667,1
4.235,2.294,2.706,2.176,1.883,1
0,1,1.941,2,2,0
0.75,1.125,3,1.875,2,3
3.077,1.462,2.384,2,1.846,2
1.6,1.2,2.95,2,2.75,1
6.273,3.636,1.182,2.545,3.364,0
2.625,1,2.438,1.937,2.062,2
1.25,1,2,2,3,1
2.437,2.062,1.687,1.875,1.375,1
4.454,1.727,2.637,2.636,3.546,1
0.133,1,1,2,1,0
0.222,1.222,1.445,2,1,1
2.467,2.667,2.2,1.933,1.8,3
4,1,4,2.167,2.5,0
5.385,3.154,2.384,2.846,2.539,1
0.773,1,2.273,1.909,2.091,0
3.786,2,1.571,1.786,1.285,3
1.923,1.615,1.693,2,1.846,1
1,1.333,1.834,2,1.917,1
5.8,2.6,3,2.8,4.2,1
6.062,1,1.562,2.375,1.75,0
3.706,1.235,1.53,2.118,2.294,1
2.444,2.333,1.223,2.444,1.776,3
6.111,2.222,2.889,2.889,3.555,2
2.533,1.067,1.6,2,1.333,1
2.167,1,2.167,2,2.5,1
2.375,1.062,2.375,2,2.125,3
1.875,1.312,2.188,2.125,2.062,2
1.75,1.333,1.167,1.75,1,1
7.333,1.333,1.459,1.958,1.542,3
5.25,1.375,2.812,2.125,2.563,3
5.182,2,2.727,2.818,4,2
1.875,2,2.25,2.813,2.437,2
5.4,2,1.2,1.8,1.4,2
1.154,1,1.923,1.846,2.462,1
6.375,2.25,2.5,2.125,3,1
9.454,2.727,3.818,2.455,3.272,3
1,1,1.917,1.833,2.167,1
1.444,1.111,2,2.111,2,1
1.8,1.1,3.1,2.2,2.6,1
2.818,2,1.955,2.045,2.546,2
10.461,2.154,2.769,2,2.923,0
4.143,1.929,2.642,2.429,3.142,3
1.227,1.182,1.091,2.227,3.182,1
5.667,3,1.667,2.667,5,1
4.111,2.556,2.222,2.778,3.778,1
4.444,1.667,2.222,2,2.444,0
3.714,3.857,2.643,2.286,3.285,0
7.4,3.7,3.1,2.5,4.2,1
3.182,2.455,1.636,2.273,3,1
5.2,2.6,0.8,1.8,2,0
2.333,1.667,0.666,1.667,2.166,0
3.333,1.917,2.083,1.917,3,1
5.25,2.75,2.5,2,4,0
7.714,4,3.071,2.929,4.428,3
3.846,2.615,3,2.692,3.693,2
2.444,1.111,1,2.111,1.667,2
5.333,1.917,3,2.25,1.917,1
1.556,1.778,3.444,2.667,3.333,1
3.182,1.545,1.91,2.273,3,1
6.222,2.444,3.689,2.444,3.445,1
7.231,1,3.154,2.308,4.384,2
3.857,1.071,3,2.071,2.286,1
3.778,1.944,1.612,1.611,1.945,1
6,1.4,2.067,2.267,2.866,2
2.333,3.583,2.334,2.333,2.667,2
7.571,2.143,3.143,2.571,3.929,1
3.667,2,2.111,2.778,4,3
3.6,2.933,2.067,2.2,2.867,0
3.364,1.273,1.81,2,2.273,0
4.1,1.9,2.8,2,2.6,2
0.125,1.062,1.437,1.875,1.563,0
6.231,2.769,1.462,2.385,4,2
3,1.455,2.09,2.273,3.272,2
0.889,1,1,2,1,2
